GR,FedavgPGD,FedavgPSGD,Fedprox,Feddr,Fedfw_cel,Fedfw_tel
605,0.19904780983924866,0.09614803418517112,0.43014320731163025,0.12620101794600486,0.4817454218864441,0.49003335535526277
606,0.19896690249443055,0.09614251628518104,0.4299299865961075,0.1218346044421196,0.4816975772380829,0.49004614949226377
607,0.19888615608215332,0.09613702297210694,0.4297173261642456,0.12402022778987884,0.4816499471664429,0.49005898237228396
608,0.19880558997392656,0.09613154530525207,0.4295052021741867,0.12811728194355965,0.4816024720668793,0.4900717377662659
609,0.1987251877784729,0.09612609595060348,0.4292936235666275,0.12809158340096474,0.48155519366264343,0.490084508061409
610,0.19864497184753419,0.09612066224217415,0.4290825754404068,0.12797999233007432,0.48150807023048403,0.49009722769260405
611,0.19856491684913635,0.09611524939537049,0.42887210845947266,0.12273629903793334,0.4814611703157425,0.4901099532842636
612,0.19848503321409225,0.09610985815525055,0.4286621570587158,0.1225125752389431,0.48141439259052277,0.4901226729154587
613,0.19840531498193742,0.09610449448227883,0.42845274806022643,0.11939254328608513,0.48136780560016634,0.49013532102108004
614,0.1983257681131363,0.09609914571046829,0.4282438725233078,0.12198257818818092,0.4813213586807251,0.4901479721069336
615,0.19824639111757278,0.09609381705522538,0.4280355215072632,0.12376188710331917,0.48127508759498594,0.49016061425209045
616,0.19816717207431794,0.09608851075172424,0.4278276860713959,0.12472106441855431,0.48122902810573576,0.49017325043678284
617,0.19808812886476518,0.09608322605490685,0.4276204138994217,0.12267889082431793,0.48118312656879425,0.49018582701683044
618,0.19800924211740495,0.0960779570043087,0.4274136692285538,0.12317550182342529,0.4811373889446259,0.4901984244585037
619,0.1979305237531662,0.09607271701097489,0.4272074162960052,0.1204495869576931,0.4810918003320694,0.49021096229553224
620,0.19785197526216508,0.09606748670339585,0.42700171172618867,0.12716115787625312,0.4810463756322861,0.4902235001325607
621,0.19777358919382096,0.09606227800250053,0.42679649889469146,0.12027336955070496,0.48100112080574037,0.4902360141277313
622,0.19769536405801774,0.09605709537863731,0.4265918225049973,0.12056120857596397,0.480956044793129,0.4902485370635986
623,0.19761730581521988,0.09605192691087723,0.4263876467943192,0.11927186101675033,0.48091112077236176,0.49026102423667905
